outcome_type,variable,coeficiente,error_estandar,valor_p,radius_size,years_offset
total,pic,0.0161480,0.0518495,0.7554658,50,1
total,pic,-0.0156048,0.0628503,0.8039139,100,1.5
total,total,-0.0505430,0.2174634,0.8162112,250,1.5
total,min,0.0331159,0.1282345,0.7962177,200,1
tasas,fcs,-0.0000002,0.0000006,0.7795088,250,1
tasas,fcs,0.0000001,0.0000005,0.7751115,200,1
tasas,total,-0.0000031,0.0000136,0.8201548,250,1.5
tasas,pic,-0.0000009,0.0000039,0.8223611,100,1.5
total,fcs,-0.0025397,0.0093910,0.7868223,250,1
total,pic,-0.0221014,0.0917196,0.8095803,200,1
total,pic,0.0135240,0.0616796,0.8264459,37.5,0.5
total,min,-0.0152422,0.0756734,0.8403693,37.5,0.5
total,fcs,0.0024901,0.0092983,0.7888526,150,0.5
total,fcs,0.0017895,0.0069692,0.7973580,150,1
total,total,-0.0299754,0.1733962,0.8627518,100,0.5
tasas,pic,0.0000007,0.0000039,0.8532429,37.5,0.5
tasas,pic,-0.0000011,0.0000057,0.8436332,200,1
tasas,pic,0.0000008,0.0000042,0.8537228,50,0.5
tasas,total,-0.0000010,0.0000071,0.8854744,37.5,0.5
tasas,min,-0.0000007,0.0000038,0.8487688,37.5,1.5
tasas,min,0.0000015,0.0000100,0.8823773,200,0.5
tasas,total,-0.0000014,0.0000108,0.8961154,100,0.5
total,pic,-0.0065764,0.0468922,0.8884666,50,1.5
tasas,total,0.0000014,0.0000115,0.9056578,200,1
total,min,-0.0081389,0.0603614,0.8927413,37.5,1.5
total,total,-0.0226741,0.2310252,0.9218165,200,0.5
total,pic,0.0078859,0.0679475,0.9076061,50,0.5
tasas,fcs,0.0000000,0.0000003,0.9007240,50,1.5
total,fcs,-0.0005184,0.0044780,0.9078319,50,1.5
tasas,pic,0.0000004,0.0000043,0.9200085,100,1
total,min,0.0086609,0.0884709,0.9220154,100,1.5
total,total,-0.0088682,0.1130847,0.9374933,37.5,0.5
tasas,min,0.0000005,0.0000055,0.9221528,100,1.5
total,min,0.0137331,0.1601638,0.9316701,200,0.5
tasas,pic,-0.0000005,0.0000052,0.9234989,200,1.5
tasas,fcs,0.0000000,0.0000004,0.9131026,100,1
total,pic,-0.0079138,0.0833508,0.9243579,200,1.5
tasas,pic,-0.0000005,0.0000061,0.9397790,150,0.5
tasas,total,-0.0000010,0.0000144,0.9439964,200,0.5
tasas,pic,-0.0000003,0.0000029,0.9305511,50,1.5
total,total,-0.0090740,0.1280713,0.9435163,100,1.5
total,total,0.0134420,0.1836540,0.9416532,200,1
total,fcs,0.0008766,0.0104820,0.9333532,200,0.5
tasas,total,-0.0000005,0.0000080,0.9521664,100,1.5
total,fcs,0.0004657,0.0060644,0.9387925,100,1
total,fcs,-0.0004925,0.0068541,0.9427219,150,1.5
total,pic,-0.0053198,0.0972668,0.9563836,150,0.5
total,pic,0.0038954,0.0688657,0.9548912,100,1
tasas,fcs,0.0000000,0.0000004,0.9806483,150,1.5
total,total,0.0017182,0.0911282,0.9849569,37.5,1
tasas,total,-0.0000001,0.0000057,0.9898385,37.5,1
tasas,fcs,0.0000000,0.0000007,0.9951389,200,0.5
